"","scientific_name","taxa_data.kingdom.i.","taxa_data.class.i.","taxa_data.order.i.","RN","original","taxa_data.family.i.","taxa_data.taxonomicStatus.i.","genus","common"
"106","Tamiasciurus douglasii","Animalia","Mammalia","Rodentia","3228","Tamiasciurus douglasii","Sciuridae","accepted name","Tamiasciurus","Sciuridae"
"107","Glaucomys sabrinus","Animalia","Mammalia","Rodentia","3228","Glaucomys sabrinus","Sciuridae","accepted name","Glaucomys","Sciuridae"
"108","Glaucomys sabrinus","Animalia","Mammalia","Rodentia","3228","G. sabrinus","Sciuridae","accepted name","Glaucomys","Sciuridae"
"109","Glaucomys sabrinus","Animalia","Mammalia","Rodentia","689","Glaucomys sabrinus","Sciuridae","accepted name","Glaucomys","Mammalia"
"110","Peromyscus maniculatus","Animalia","Mammalia","Rodentia","689","Peromyscus maniculatus","Cricetidae","accepted name","Peromyscus","Mammalia"
"111","Martes americana","Animalia","Mammalia","Carnivora","689","Martes americana","Mustelidae","accepted name","Martes","Mammalia"
"112","Glaucomys sabrinus","Animalia","Mammalia","Rodentia","4009","Glaucomys sabrinus","Sciuridae","accepted name","Glaucomys","Glaucomys"
"113","Glaucomys sabrinus","Animalia","Mammalia","Rodentia","4009","G. sabrinus","Sciuridae","accepted name","Glaucomys","Glaucomys"
"114","Dipodomys spectabilis","Animalia","Mammalia","Rodentia","698","Dipodomys spectabilis","Heteromyidae","accepted name","Dipodomys","Rodentia"
"115","Perognathus flavus","Animalia","Mammalia","Rodentia","698","Perognathus flavus","Heteromyidae","accepted name","Perognathus","Rodentia"
"116","Peromyscus eremicus","Animalia","Mammalia","Rodentia","698","Peromyscus eremicus","Cricetidae","accepted name","Peromyscus","Rodentia"
"117","Onychomys torridus","Animalia","Mammalia","Rodentia","698","Onychomys torridus","Cricetidae","accepted name","Onychomys","Rodentia"
"118","Chaetodipus penicillatus","Animalia","Mammalia","Rodentia","698","Chaetodipus penicillatus","Heteromyidae","accepted name","Chaetodipus","Rodentia"
"119","Dipodomys ordii","Animalia","Mammalia","Rodentia","698","D. ordii","Heteromyidae","accepted name","Dipodomys","Rodentia"
"120","Dipodomys merriami","Animalia","Mammalia","Rodentia","698","D. merriami","Heteromyidae","accepted name","Dipodomys","Rodentia"
"121","Onychomys leucogaster","Animalia","Mammalia","Rodentia","698","O. leucogaster","Cricetidae","accepted name","Onychomys","Rodentia"
"122","Peromyscus maniculatus","Animalia","Mammalia","Rodentia","766","Peromyscus maniculatus","Cricetidae","accepted name","Peromyscus","Peromyscus maniculatus"
"123","Peromyscus maniculatus","Animalia","Mammalia","Rodentia","3327","Peromyscus maniculatus","Cricetidae","accepted name","Peromyscus","Cricetidae"
"124","Myodes gapperi","Animalia","Mammalia","Rodentia","3327","Myodes gapperi","Cricetidae","accepted name","Myodes","Cricetidae"
"125","Peromyscus maniculatus","Animalia","Mammalia","Rodentia","3438","Peromyscus maniculatus","Cricetidae","accepted name","Peromyscus","Cricetidae"
"126","Myodes gapperi","Animalia","Mammalia","Rodentia","3438","Myodes gapperi","Cricetidae","accepted name","Myodes","Cricetidae"
"127","Myodes gapperi","Animalia","Mammalia","Rodentia","3438","M. gapperi","Cricetidae","accepted name","Myodes","Cricetidae"
"128","Peromyscus maniculatus","Animalia","Mammalia","Rodentia","3438","P. maniculatus","Cricetidae","accepted name","Peromyscus","Cricetidae"
